strain,time (s)
-1.4015995348921825e-20,-3.0547561627499995
-1.5106755441638997e-20,-3.0542678814999995
-1.6178812044898047e-20,-3.0537796002499995
-1.7230822913351642e-20,-3.0532913189999995
-1.8261470331178063e-20,-3.0528030377499995
-1.9269462768214815e-20,-3.0523147564999995
-2.025353650439628e-20,-3.0518264752499995
-2.1212457220428438e-20,-3.0513381939999995
-2.2145021552711445e-20,-3.0508499127499995
-2.305005861051871e-20,-3.0503616314999995
-2.3926431453539905e-20,-3.0498733502499995
-2.4773038527885685e-20,-3.0493850689999995
-2.5588815058758368e-20,-3.0488967877499995
-2.63727343977301e-20,-3.0484085064999995
-2.7123809322139276e-20,-3.0479202252499995
-2.7841093288267426e-20,-3.0474319439999995
-2.852368163406537e-20,-3.0469436627499995
-2.917071272969753e-20,-3.0464553814999995
-2.978136907497961e-20,-3.0459671002499995
-3.035487834231401e-20,-3.0454788189999995
-3.089051436376621e-20,-3.0449905377499995
-3.138759806102043e-20,-3.0445022564999995
-3.184549831700233e-20,-3.0440139752499995
-3.226363278804546e-20,-3.0435256939999995
-3.2641468655534605e-20,-3.0430374127499995
-3.2978523316053085e-20,-3.0425491314999995
-3.32743650091175e-20,-3.0420608502499995
-3.352861338167777e-20,-3.0415725689999995
-3.3740939988626394e-20,-3.0410842877499995
-3.391106872864835e-20,-3.0405960064999995
-3.40387762148179e-20,-3.0401077252499995
-3.4123892079434285e-20,-3.0396194439999995
-3.416629921266674e-20,-3.0391311627499995
-3.4165933934663054e-20,-3.0386428814999995
-3.412278610085978e-20,-3.0381546002499995
-3.403689914031418e-20,-3.0376663189999995
-3.390837002696228e-20,-3.0371780377499995
-3.373734918379217e-20,-3.0366897564999995
-3.3524040320003444e-20,-3.0362014752499995
-3.32687002013118e-20,-3.0357131939999995
-3.2971638353634956e-20,-3.0352249127499995
-3.2633216700489266e-20,-3.0347366314999995
-3.225384913449863e-20,-3.0342483502499995
-3.183400102351073e-20,-3.0337600689999995
-3.137418865189139e-20,-3.0332717877499995
-3.087497859764832e-20,-3.0327835064999995
-3.033698704612657e-20,-3.0322952252499995
-2.976087904108382e-20,-3.0318069439999995
-2.914736767404694e-20,-3.0313186627499995
-2.849721321291399e-20,-3.0308303814999995
-2.7811222170864015e-20,-3.0303421002499995
-2.7090246316684547e-20,-3.0298538189999995
-2.6335181627735583e-20,-3.0293655377499995
-2.5546967186800483e-20,-3.0288772564999995
-2.4726584024194353e-20,-3.0283889752499995
-2.387505390651736e-20,-3.0279006939999995
-2.2993438073559732e-20,-3.0274124127499995
-2.208283592488912e-20,-3.0269241314999995
-2.1144383657742022e-20,-3.0264358502499995
-2.0179252857897378e-20,-3.0259475689999995
-1.918864904525683e-20,-3.0254592877499995
-1.8173810175946452e-20,-3.0249710064999995
-1.7136005102761948e-20,-3.0244827252499995
-1.6076531995894473e-20,-3.0239944439999995
-1.499671672586393e-20,-3.0235061627499995
-1.3897911210684464e-20,-3.0230178814999995
-1.278149172930432e-20,-3.0225296002499995
-1.1648857203419219e-20,-3.0220413189999995
-1.050142744979288e-20,-3.0215530377499995
-9.340641405270444e-21,-3.0210647564999995
-8.16795532668198e-21,-3.0205764752499995
-6.984840967892108e-21,-3.0200881939999995
-5.792783736277454e-21,-3.0195999127499995
-4.5932808309151854e-21,-3.0191116314999995
-3.387839364838057e-21,-3.0186233502499995
-2.1779744736812286e-21,-3.0181350689999995
-9.652074131172554e-22,-3.0176467877499995
2.489363525655413e-22,-3.0171585064999995
1.4629290683067424e-21,-3.0166702252499995
2.6752426101656527e-21,-3.0161819439999995
3.8843504088137865e-21,-3.0156936627499995
5.0887293722338165e-21,-3.0152053814999995
6.2868618051807345e-21,-3.0147171002499995
7.477237323002361e-21,-3.0142288189999995
8.658354757402811e-21,-3.0137405377499995
9.828724051725724e-21,-3.0132522564999995
1.0986868143393578e-20,-3.0127639752499995
1.2131324831085566e-20,-3.0122756939999995
1.3260648624327427e-20,-3.0117874127499995
1.4373412573115645e-20,-3.0112991314999995
1.546821007528523e-20,-3.0108108502499995
1.654365665930267e-20,-3.0103225689999995
1.7598391740240932e-20,-3.0098342877499995
1.8631080346682094e-20,-3.0093460064999995
1.9640414816372036e-20,-3.0088577252499995
2.0625116458442266e-20,-3.0083694439999995
2.1583937180102486e-20,-3.0078811627499995
2.2515661075705632e-20,-3.0073928814999995
2.3419105976169862e-20,-3.0069046002499995
2.4293124956768366e-20,-3.0064163189999995
2.5136607801345314e-20,-3.0059280377499995
2.5948482421102484e-20,-3.0054397564999995
2.672771622610294e-20,-3.0049514752499995
2.747331744775675e-20,-3.0044631939999995
2.81843364105596e-20,-3.0039749127499995
2.885986675145993e-20,-3.0034866314999995
2.949904658526388e-20,-3.0029983502499995
3.010105961458127e-20,-3.0025100689999995
3.066513618285572e-20,-3.0020217877499995
3.1190554269123836e-20,-3.0015335064999995
3.167664042318987e-20,-3.0010452252499995
3.212277064000453e-20,-3.0005569439999995
3.252837117209113e-20,-3.0000686627499995
3.289291927894985e-20,-2.9995803814999995
3.321594391245085e-20,-2.9990921002499995
3.349702633729875e-20,-2.9986038189999995
3.373580068574287e-20,-2.9981155377499995
3.3931954445779284e-20,-2.9976272564999995
3.4085228882184404e-20,-2.9971389752499995
3.419541938979559e-20,-2.9966506939999995
3.4262375778546215e-20,-2.9961624127499995
3.4286002489842767e-20,-2.9956741314999995
3.426625874396353e-20,-2.9951858502499995
3.42031586182406e-20,-2.9946975689999995
3.40967710558779e-20,-2.9942092877499995
3.394721980534281e-20,-2.9937210064999995
3.375468329036017e-20,-2.9932327252499995
3.3519394410619845e-20,-2.9927444439999995
3.3241640273405055e-20,-2.9922561627499995
3.292176185642571e-20,-2.9917678814999995
3.256015360224027e-20,-2.9912796002499995
3.215726294472345e-20,-2.9907913189999995
3.1713589768139173e-20,-2.9903030377499995
3.1229685799445664e-20,-2.9898147564999995
3.0706153934562906e-20,-2.9893264752499995
3.014364749940246e-20,-2.9888381939999995
2.954286944655272e-20,-2.9883499127499995
2.890457148858969e-20,-2.9878616314999995
2.8229553169062684e-20,-2.9873733502499995
2.7518660872298193e-20,-2.9868850689999995
